num_nonlagged_parents,num_lagged_parents,num_nonlagged_ancestors,num_lagged_ancestors,num_nonlagged_connected,num_lagged_connected,avg_nonlagged_parents,avg_lagged_parents,avg_nonlagged_ancestors,avg_lagged_ancestors,avg_nonlagged_connected,avg_lagged_connected,target,filename,dataset_name
1,2,0,8,5,44,1.8,3.6,1.0,14.4,5.0,35.4,4,TestCLIM_N-5_T-250_0082.txt,TestCLIM_N-5_T-250/returns
3,6,2,24,5,43,1.8,3.6,1.4,12.0,5.0,43.0,0,TestCLIM_N-5_T-250_0057.txt,TestCLIM_N-5_T-250/returns
1,2,1,8,5,43,1.8,3.6,1.4,12.0,5.0,43.0,1,TestCLIM_N-5_T-250_0057.txt,TestCLIM_N-5_T-250/returns
1,2,0,8,5,43,1.8,3.6,1.4,12.0,5.0,43.0,2,TestCLIM_N-5_T-250_0057.txt,TestCLIM_N-5_T-250/returns
2,4,2,10,5,43,1.8,3.6,1.4,12.0,5.0,43.0,3,TestCLIM_N-5_T-250_0057.txt,TestCLIM_N-5_T-250/returns
2,4,2,10,5,43,1.8,3.6,1.4,12.0,5.0,43.0,4,TestCLIM_N-5_T-250_0057.txt,TestCLIM_N-5_T-250/returns
3,6,2,24,5,44,2.0,4.0,1.4,17.4,5.0,44.0,0,TestCLIM_N-5_T-250_0036.txt,TestCLIM_N-5_T-250/returns
3,6,2,24,5,44,2.0,4.0,1.4,17.4,5.0,44.0,1,TestCLIM_N-5_T-250_0036.txt,TestCLIM_N-5_T-250/returns
1,2,2,15,5,44,2.0,4.0,1.4,17.4,5.0,44.0,2,TestCLIM_N-5_T-250_0036.txt,TestCLIM_N-5_T-250/returns
2,4,1,16,5,44,2.0,4.0,1.4,17.4,5.0,44.0,3,TestCLIM_N-5_T-250_0036.txt,TestCLIM_N-5_T-250/returns
1,2,0,8,5,44,2.0,4.0,1.4,17.4,5.0,44.0,4,TestCLIM_N-5_T-250_0036.txt,TestCLIM_N-5_T-250/returns
1,2,0,8,5,43,1.6,3.2,1.4,11.8,5.0,43.0,0,TestCLIM_N-5_T-250_0148.txt,TestCLIM_N-5_T-250/returns
3,6,2,24,5,43,1.6,3.2,1.4,11.8,5.0,43.0,1,TestCLIM_N-5_T-250_0148.txt,TestCLIM_N-5_T-250/returns
1,2,2,9,5,43,1.6,3.2,1.4,11.8,5.0,43.0,2,TestCLIM_N-5_T-250_0148.txt,TestCLIM_N-5_T-250/returns
1,2,1,8,5,43,1.6,3.2,1.4,11.8,5.0,43.0,3,TestCLIM_N-5_T-250_0148.txt,TestCLIM_N-5_T-250/returns
2,4,2,10,5,43,1.6,3.2,1.4,11.8,5.0,43.0,4,TestCLIM_N-5_T-250_0148.txt,TestCLIM_N-5_T-250/returns
1,2,0,8,4,34,1.2,2.4,0.6,9.6,3.4,29.0,0,TestCLIM_N-5_T-250_0043.txt,TestCLIM_N-5_T-250/returns
1,2,1,8,4,34,1.2,2.4,0.6,9.6,3.4,29.0,1,TestCLIM_N-5_T-250_0043.txt,TestCLIM_N-5_T-250/returns
1,2,0,8,1,9,1.2,2.4,0.6,9.6,3.4,29.0,2,TestCLIM_N-5_T-250_0043.txt,TestCLIM_N-5_T-250/returns
2,4,1,16,4,34,1.2,2.4,0.6,9.6,3.4,29.0,3,TestCLIM_N-5_T-250_0043.txt,TestCLIM_N-5_T-250/returns
1,2,1,8,4,34,1.2,2.4,0.6,9.6,3.4,29.0,4,TestCLIM_N-5_T-250_0043.txt,TestCLIM_N-5_T-250/returns
1,2,1,15,5,43,1.8,3.6,1.8,16.0,5.0,43.0,0,TestCLIM_N-5_T-250_0114.txt,TestCLIM_N-5_T-250/returns
2,4,2,16,5,43,1.8,3.6,1.8,16.0,5.0,43.0,1,TestCLIM_N-5_T-250_0114.txt,TestCLIM_N-5_T-250/returns
3,6,3,18,5,43,1.8,3.6,1.8,16.0,5.0,43.0,2,TestCLIM_N-5_T-250_0114.txt,TestCLIM_N-5_T-250/returns
2,4,1,16,5,43,1.8,3.6,1.8,16.0,5.0,43.0,3,TestCLIM_N-5_T-250_0114.txt,TestCLIM_N-5_T-250/returns
1,2,2,15,5,43,1.8,3.6,1.8,16.0,5.0,43.0,4,TestCLIM_N-5_T-250_0114.txt,TestCLIM_N-5_T-250/returns
